"ubigeo","ccdd","ccpp","ccdi","departamento","provincia","distrito","Porcentaje de hogares con déficit habitacional (%)","Número de hogares con déficit habitacional (en miles)","Porcentaje de hogares con déficit cuantitativo de vivienda (%)","Número de hogares con déficit cuantitativo de vivienda (en miles)","Porcentaje de hogares con déficit cualitativo de vivienda (%)","Número de hogares con déficit cualitativo de vivienda (en miles)","Porcentaje de viviendas no adecuadas (%)","Número de hogares con viviendas no adecuadas (en miles)","Porcentaje de hogares urbanos con viviendas no adecuadas (%)","Número de hogares urbanos con viviendas no adecuadas","Porcentaje de hogares rurales con viviendas no adecuadas (%)","Número de hogares rurales con viviendas no adecuadas","Porcentaje de hogares en viviendas con material irrecuperable (%)","Número de hogares en viviendas con material irrecuperable (en miles)","Porcentaje de hogares urbanos en viviendas con material irrecuperable (%)","Número de hogares urbanos en viviendas con material irrecuperable","Porcentaje de hogares rurales en viviendas con material irrecuperable (%)","Número de hogares rurales en viviendas con material irrecuperable","Porcentaje de hogares en viviendas hacinadas (%)","Número de hogares en viviendas hacinadas (en miles)","Porcentaje de hogares urbanos en viviendas hacinadas (%)","Número de hogares urbanos en viviendas hacinadas","Porcentaje de hogares rurales en viviendas hacinadas (%)","Número de hogares rurales en viviendas hacinadas","Porcentaje de hogares sin electrificación (%)","Número de hogares sin electrificación (en miles)","Porcentaje de hogares urbanos sin electrificación (%)","Número de hogares urbanos sin electrificación","Porcentaje de hogares rurales sin servicio de electrificación (%)","Número de hogares rurales sin servicio de electrificación","Porcentaje de hogares sin servicio de desague (%)","Número de hogares sin servicio de desague (en miles)","Porcentaje de hogares urbanos sin servicio de desague (%)","Número de hogares urbanos sin servicio de desague","Porcentaje de hogares rurales sin servicio de desague (%)","Número de hogares rurales sin servicio de desague","Porcentaje de hogares sin servicio de agua (%)","Número de hogares sin servicio de agua (en miles)","Porcentaje de hogares urbanos sin servicio de agua (%)","Número de hogares urbanos sin servicio de agua","Porcentaje de hogares rurales sin servicio de agua (%)","Número de hogares rurales sin servicio de agua"
"010101","01","01","01","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",12.0326308633583,0.885,12.0468955616701,1.007,12.0054384772264,0.883,0.131594688359852,0.011,0.13419543735513,11,0,0,0.969015432467999,0.081,0.98816640234232,81,0,0,6.512576478586,0.479,6.6175448352565,476,1.85185185185185,3,6.81899748773777,0.57,6.38038306697572,523,29.0123456790123,47,18.1241775331978,1.515,16.8232280102477,1379,83.9506172839506,136,14.6668261753798,1.226,14.3955105526412,1180,28.3950617283951,46
"010102","01","01","02","AMAZONAS","CHACHAPOYAS","ASUNCION",3,0.003,3.84615384615385,0.004,3,0.003,0,0,0,0,0,0,0.961538461538462,0.001,0,0,0.961538461538462,1,1,0.001,0,0,1,1,16.3461538461538,0.017,0,0,16.3461538461538,17,21.1538461538462,0.022,0,0,21.1538461538462,22,0.961538461538462,0.001,0,0,0.961538461538462,1
"010103","01","01","03","AMAZONAS","CHACHAPOYAS","BALSAS",16.8168168168168,0.056,6.19718309859155,0.022,16.8168168168168,0.056,0,0,0,0,0,0,1.40845070422535,0.005,0,0,1.40845070422535,5,3.3033033033033,0.011,0,0,3.3033033033033,11,25.9154929577465,0.092,0,0,25.9154929577465,92,36.056338028169,0.128,0,0,36.056338028169,128,24.7887323943662,0.088,0,0,24.7887323943662,88
"010104","01","01","04","AMAZONAS","CHACHAPOYAS","CHETO",9.90566037735849,0.021,3.63636363636364,0.008,9.90566037735849,0.021,0,0,0,0,0,0,0.454545454545455,0.001,0,0,0.454545454545455,1,7.07547169811321,0.015,0,0,7.07547169811321,15,12.2727272727273,0.027,0,0,12.2727272727273,27,15.4545454545455,0.034,0,0,15.4545454545455,34,3.63636363636364,0.008,0,0,3.63636363636364,8
"010105","01","01","05","AMAZONAS","CHACHAPOYAS","CHILIQUIN",5.88235294117647,0.012,0.970873786407767,0.002,5.88235294117647,0.012,0,0,0,0,0,0,0,0,0,0,0,0,1.47058823529412,0.003,0,0,1.47058823529412,3,33.9805825242718,0.07,0,0,33.9805825242718,70,47.0873786407767,0.097,0,0,47.0873786407767,97,7.28155339805825,0.015,0,0,7.28155339805825,15
"010106","01","01","06","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",26.2759924385633,0.139,2.75735294117647,0.015,26.2759924385633,0.139,0,0,0,0,0,0,0,0,0,0,0,0,5.4820415879017,0.029,0,0,5.4820415879017,29,52.3897058823529,0.285,0,0,52.3897058823529,285,66.3602941176471,0.361,0,0,66.3602941176471,361,23.3455882352941,0.127,0,0,23.3455882352941,127
"010107","01","01","07","AMAZONAS","CHACHAPOYAS","GRANADA",5.22875816993464,0.008,1.92307692307692,0.003,5.22875816993464,0.008,0,0,0,0,0,0,0,0,0,0,0,0,3.92156862745098,0.006,0,0,3.92156862745098,6,5.12820512820513,0.008,0,0,5.12820512820513,8,37.8205128205128,0.059,0,0,37.8205128205128,59,2.56410256410256,0.004,0,0,2.56410256410256,4
"010108","01","01","08","AMAZONAS","CHACHAPOYAS","HUANCAS",2.72727272727273,0.003,10.5691056910569,0.013,2.72727272727273,0.003,0,0,0,0,0,0,0,0,0,0,0,0,1.81818181818182,0.002,0,0,1.81818181818182,2,23.5772357723577,0.029,0,0,23.5772357723577,29,19.5121951219512,0.024,0,0,19.5121951219512,24,0.813008130081301,0.001,0,0,0.813008130081301,1
"010109","01","01","09","AMAZONAS","CHACHAPOYAS","LA JALCA",7.24365004703669,0.077,3.80434782608696,0.042,7.14957666980245,0.076,0.0905797101449275,0.001,0.161812297734628,1,0,0,3.07971014492754,0.034,5.50161812297735,34,0,0,2.35183443085607,0.025,3.10880829015544,18,1.44628099173554,7,10.4166666666667,0.115,7.28155339805825,45,14.40329218107,70,56.0688405797101,0.619,39.6440129449838,245,76.9547325102881,374,24.0942028985507,0.266,39.3203883495146,243,4.73251028806584,23
"010110","01","01","10","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",12.4117053481332,0.123,9.99091734786558,0.11,12.4117053481332,0.123,0,0,0,0,0,0,0.817438692098093,0.009,0.96969696969697,8,0.36231884057971,1,6.25630676084763,0.062,8.07799442896936,58,1.46520146520147,4,22.5249772933697,0.248,9.09090909090909,75,62.6811594202899,173,21.1625794732062,0.233,8.96969696969697,74,57.6086956521739,159,12.2615803814714,0.135,4.12121212121212,34,36.5942028985507,101
"010111","01","01","11","AMAZONAS","CHACHAPOYAS","LEVANTO",2.5,0.006,4.76190476190476,0.012,2.5,0.006,0,0,0,0,0,0,0.396825396825397,0.001,0,0,0.396825396825397,1,0.833333333333333,0.002,0,0,0.833333333333333,2,11.9047619047619,0.03,0,0,11.9047619047619,30,16.6666666666667,0.042,0,0,16.6666666666667,42,2.38095238095238,0.006,0,0,2.38095238095238,6
"010112","01","01","12","AMAZONAS","CHACHAPOYAS","MAGDALENA",7.38255033557047,0.022,5.99369085173502,0.019,7.38255033557047,0.022,0,0,0,0,0,0,0.946372239747634,0.003,0,0,0.946372239747634,3,3.35570469798658,0.01,0,0,3.35570469798658,10,17.0347003154574,0.054,0,0,17.0347003154574,54,17.981072555205,0.057,0,0,17.981072555205,57,4.73186119873817,0.015,0,0,4.73186119873817,15
"010113","01","01","13","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",4.59183673469388,0.018,3.44827586206897,0.014,4.59183673469388,0.018,0,0,0,0,0,0,0,0,0,0,0,0,4.59183673469388,0.018,0,0,4.59183673469388,18,6.40394088669951,0.026,0,0,6.40394088669951,26,19.7044334975369,0.08,0,0,19.7044334975369,80,0.985221674876847,0.004,0,0,0.985221674876847,4
"010114","01","01","14","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",7.09010339734121,0.048,3.42368045649073,0.024,7.09010339734121,0.048,0,0,0,0,0,0,0,0,0,0,0,0,5.61299852289513,0.038,0,0,5.61299852289513,38,8.27389443651926,0.058,0,0,8.27389443651926,58,37.2325249643367,0.261,0,0,37.2325249643367,261,4.85021398002853,0.034,0,0,4.85021398002853,34
