"ccdd","ccpp","ccdi","ubigeo","Total","Número de hogares con déficit habitacional (en miles)","Número de hogares con déficit cualitativo de vivienda (en miles)","Número de hogares cuyas viviendas requieren de mejoras en sus paredes, techos o piso (en miles)","Número de hogares cuyas viviendas cuentan con servicios básicos deficitarios (en miles)","Número de hogares cuyas viviendas requieren ampliarse (en miles)","Número de hogares con déficit cuantitativo de vivienda (en miles)","Número de hogares cuyas viviendas son irrecuperables (en miles)","Número de hogares secundarios con hacinamiento (en miles)","Número de hogares que cuentan con hacinamiento no ampliable (en miles)","Porcentaje de hogares con déficit habitacional (%)","Porcentaje de hogares con déficit cualitativo de vivienda (%)","Porcentaje de hogares cuyas viviendas requieren de mejoras en sus paredes, techos o piso (%)","Porcentaje de hogares cuyas viviendas cuentan con servicios básicos deficitarios (%)","Porcentaje de hogares cuyas viviendas requieren ampliarse (%)","Porcentaje de hogares con déficit cuantitativo de vivienda (%)","Porcentaje de hogares cuyas viviendas son irrecuperables (%)","Porcentaje de hogares secundarios con hacinamiento (%)","Porcentaje de hogares que cuentan con hacinamiento no ampliable (%)"
"01","01","01","010101",8.359,6.477,5.804,5.405,1.449,0.635,0.673,0.094,0.376,0.206,77.4853451369781,69.4341428400526,64.6608445986362,17.3346094030386,7.59660246440962,8.05120229692547,1.12453642780237,4.49814571120947,2.4644096183754
"01","01","02","010102",0.104,0.102,0.088,0.088,0.003,0.005,0.014,0.012,0,0.002,98.0769230769231,84.6153846153846,84.6153846153846,2.88461538461538,4.80769230769231,13.4615384615385,11.5384615384615,0,1.92307692307692
"01","01","03","010103",0.355,0.338,0.321,0.312,0.216,0.017,0.017,0.007,0.004,0.006,95.2112676056338,90.4225352112676,87.887323943662,60.8450704225352,4.7887323943662,4.7887323943662,1.97183098591549,1.12676056338028,1.69014084507042
"01","01","04","010104",0.22,0.184,0.175,0.173,0.036,0.022,0.009,0.002,0.003,0.004,83.6363636363636,79.5454545454545,78.6363636363636,16.3636363636364,10,4.09090909090909,0.909090909090909,1.36363636363636,1.81818181818182
"01","01","05","010105",0.206,0.206,0.202,0.2,0.169,0.005,0.004,0.001,0.001,0.002,100,98.0582524271845,97.0873786407767,82.0388349514563,2.42718446601942,1.94174757281553,0.485436893203884,0.485436893203884,0.970873786407767
"01","01","06","010106",0.544,0.544,0.526,0.522,0.349,0.037,0.018,0.005,0.002,0.011,100,96.6911764705882,95.9558823529412,64.1544117647059,6.80147058823529,3.30882352941176,0.919117647058824,0.367647058823529,2.02205882352941
"01","01","07","010107",0.156,0.152,0.149,0.147,0.133,0.01,0.003,0.003,0,0,97.4358974358974,95.5128205128205,94.2307692307692,85.2564102564103,6.41025641025641,1.92307692307692,1.92307692307692,0,0
"01","01","08","010108",0.123,0.121,0.115,0.115,0.037,0.004,0.006,0.003,0.002,0.001,98.3739837398374,93.4959349593496,93.4959349593496,30.0813008130081,3.2520325203252,4.8780487804878,2.4390243902439,1.6260162601626,0.813008130081301
"01","01","09","010109",1.104,1.08,1.046,1.008,0.63,0.042,0.034,0.017,0.008,0.009,97.8260869565217,94.7463768115942,91.304347826087,57.0652173913043,3.80434782608696,3.07971014492754,1.53985507246377,0.72463768115942,0.815217391304348
"01","01","10","010110",1.101,1.024,0.94,0.913,0.319,0.087,0.084,0.016,0.044,0.024,93.0063578564941,85.3769300635786,82.9246139872843,28.9736603088102,7.90190735694823,7.62942779291553,1.45322434150772,3.99636693914623,2.17983651226158
"01","01","11","010111",0.252,0.241,0.237,0.23,0.105,0.007,0.004,0.001,0.003,0,95.6349206349206,94.0476190476191,91.2698412698413,41.6666666666667,2.77777777777778,1.58730158730159,0.396825396825397,1.19047619047619,0
"01","01","12","010112",0.317,0.287,0.274,0.27,0.107,0.021,0.013,0.007,0.004,0.002,90.5362776025237,86.4353312302839,85.1735015772871,33.7539432176656,6.62460567823344,4.10094637223975,2.20820189274448,1.26182965299685,0.630914826498423
"01","01","13","010113",0.406,0.388,0.381,0.372,0.079,0.034,0.007,0.001,0.002,0.004,95.5665024630542,93.8423645320197,91.6256157635468,19.4581280788177,8.3743842364532,1.72413793103448,0.246305418719212,0.492610837438424,0.985221674876847
"01","01","14","010114",0.701,0.589,0.578,0.5,0.277,0.088,0.011,0.001,0.006,0.004,84.0228245363766,82.453637660485,71.3266761768902,39.5149786019972,12.5534950071327,1.56918687589158,0.14265335235378,0.855920114122682,0.570613409415121
"01","01","15","010115",0.164,0.162,0.157,0.157,0.051,0.011,0.005,0.001,0.001,0.003,98.780487804878,95.7317073170732,95.7317073170732,31.0975609756097,6.70731707317073,3.04878048780488,0.609756097560976,0.609756097560976,1.82926829268293
"01","01","16","010116",0.148,0.148,0.137,0.128,0.134,0.02,0.011,0.006,0.003,0.002,100,92.5675675675676,86.4864864864865,90.5405405405405,13.5135135135135,7.43243243243243,4.05405405405405,2.02702702702703,1.35135135135135
"01","01","17","010117",0.295,0.295,0.243,0.24,0.236,0.003,0.052,0.052,0,0,100,82.3728813559322,81.3559322033898,80,1.01694915254237,17.6271186440678,17.6271186440678,0,0
"01","01","18","010118",0.102,0.095,0.09,0.082,0.036,0.011,0.005,0.001,0,0.004,93.1372549019608,88.2352941176471,80.3921568627451,35.2941176470588,10.7843137254902,4.90196078431373,0.980392156862745,0,3.92156862745098
"01","01","19","010119",0.187,0.184,0.18,0.179,0.063,0.008,0.004,0,0.003,0.001,98.3957219251337,96.2566844919786,95.7219251336898,33.6898395721925,4.27807486631016,2.13903743315508,0,1.60427807486631,0.53475935828877
"01","01","20","010120",0.407,0.376,0.366,0.357,0.113,0.037,0.01,0.001,0.002,0.007,92.3832923832924,89.9262899262899,87.7149877149877,27.7641277641278,9.09090909090909,2.45700245700246,0.245700245700246,0.491400491400491,1.71990171990172
"01","01","21","010121",0.086,0.085,0.082,0.081,0.055,0.001,0.003,0.002,0,0.001,98.8372093023256,95.3488372093023,94.1860465116279,63.953488372093,1.16279069767442,3.48837209302326,2.32558139534884,0,1.16279069767442
